path,filename,extension,category,size_bytes,size_mb,modified,relevance_score,relevance,text_extracted,text_preview,sha256,duplicate_count
chaput_docs.py,chaput_docs.py,.py,other,12362,0.01,1786219789.4982173,0,UNLIKELY,False,,8543d29add60edd4c16ea02d24a4e0592820c47f2f134886deb15ac55ffb3397,1
1\82.7% sport IQ's of 84.docx,82.7% sport IQ's of 84.docx,.docx,document,6713,0.01,1753545812.0,0,UNLIKELY,True,"Insufferable 3rd-world 'Murka remains its own worst enemy as an incoherent, fractured, and amoral dystopia so utterly broken the joint no longer functions—at all! The best part? 82.7% of 'Murka's laughably delusional canaille sporting average IQ’s of around 84 haven't a clue all the Earth cannot stand ’em.",2dd53785ba163dfc156e8a4c9344ac7a344938458eceb4ef4e06a2b090fdc25d,1
1\COTSWOLDS WINTER.docx,COTSWOLDS WINTER.docx,.docx,document,91200,0.09,1671669496.0,0,UNLIKELY,True,"Second-world 'Murka's despicable, Repugnut, fascists constitute the clearest threat to our nation that has ever existed. When we compare these feral traitors to our Boys in 1774 Philly, Repugnuts were the thieves and cutthroats selling putrid pork pies and trollops at the open windows of the stifling Pennsylvania State House. While ALL 30 First-World nations boast between 3-6 political parties only lumbering, dilapidated 'Murka sports but two anemic gangs of swaggering crooks exclusively bought ",5fe3cbfd8cb8eda34098de3677a0783b0f2ecc7c9a656e91eb85d3896b5c61ec,1
1\Discoverize.docx,Discoverize.docx,.docx,document,6691,0.01,1753545934.0,0,UNLIKELY,True,"Apparently, trashy Discoverize is some loathsome high-school's hysterical version of “morning announcements.” But, then, 3rd-world ’Murka’s entire Internet’s forever been a perfect swamp of banality, embarrassing drivel, and unbearably-stunning ignorance. Sick, sad, and stupid—all of it.",c21780c7832233bebd9a2d4dcc3bc3091c8e27440705b691a6ef5d206c0f4efd,1
1\DOCS 9 5.4.'25.docx,DOCS 9 5.4.'25.docx,.docx,document,6716,0.01,1753545166.0,0,UNLIKELY,True,Unread and ill-educated ’Murkan yobs need to stay off OUR Internet. Howling illiteracies have become so endemic among ’Murka’s glum majority Tribe Of The Unread it’s become nye impossible to wade through their malaprops and moronic 3rd-grade rubbish piles. Stupidity has never once been a virtue.,26bc268232ea577ad87f6a179f9aa901c91e9abdb3cc7902a5760f55b4d6bc21,1
1\DSM CODE NARC. SOCIO..docx,DSM CODE NARC. SOCIO..docx,.docx,document,728585,0.69,1666133240.0,0,UNLIKELY,True,DSM-5 303.81 (F60.81) Narcissistic Personality Disorder DSM-5 301.81 (F60.81),e36a7023498f56250152744dd1cb2a80ded574c2adaf400cc994e5257699519c,1
1\FRESH GOOGLE DOCS 3.12.'25.docx,FRESH GOOGLE DOCS 3.12.'25.docx,.docx,document,111291,0.11,1753545242.0,0,UNLIKELY,True,"Third-world 'Murka's dizzy, dotty, rotting DGiven that dealing with immoral, incompetent, Given that dealing with immoral, incompetent, stunningly obtuse, ill-prepared, and/or hopelessly ill-educated lowlife howlers often become excursions into varieties of animus, societies might wish to consider breeding licensees.stunningly obtuse, ill-prepared, and/or hopelessly ill-educated lowlife howlers often become excursions into varieties of animus, societies might wish to consider breeding licensees.",5482956f627bcc9d94a112db9f453b075391f50278c230fb7a0ee50b2be06afa,1
1\GOOGLE DOCS #7.docx,GOOGLE DOCS #7.docx,.docx,document,7425,0.01,1753544530.0,0,UNLIKELY,True,"Universally-despised, 3rd-world 'Murka' long, long ago abandoned sanity. Hear Nietzsche: “In individuals, insanity is rare; but in groups, parties, nations, and epochs, it is the rule.” Good riddance, 'Murka. Apparently, trashy Discoverize is some loathsome high-school's hysterical version of Morning Announcements. But, then, the entire Internet in 3rd-world 'Murka's forever been a fetid swamp of banality, embarrassing drivel, and unbearably-s",acbd4ddc6bfc57ce440a65e4a516832aa59760b8e9c1db22da59774e1629393b,1
1\GOOGLE DOCS 5.13..docx,GOOGLE DOCS 5.13..docx,.docx,document,7265,0.01,1753544942.0,0,UNLIKELY,True,"DSM ICD -10-CM (F60-81) Narcissistic Sociopath—get used to it. Get a grip! Dear Donny Dimwit's got the mind of a 4th-grader strung-out on meth even as 3rd-world 'Murka's vast 93% super-majority of unread, uneducated, and hopelessly-delusional philistines remains astonishingly dull, deadly, dreary, deranged, and dolorous. Stupidity has never once been a virtue . . . until now. Given that dealing with immoral, incompetent, stunningly obtuse, ill-prepared, and/or hopelessly ill-educated lowlife how",1259d5cb70f3845dfad7aaf6e6b44a785b9dc132bfdc0882e1da115dec425f11,1
"1\GOOGLE DOCS 7 S0, WHAT ELSE YA' GOT_.docx","GOOGLE DOCS 7 S0, WHAT ELSE YA' GOT_.docx",.docx,document,8671,0.01,1753544802.0,0,UNLIKELY,True,"Poisonous Repugnut Nazis have become death-star lethal to any open and pleasant attempt to govern a patently ruptured, 3rd-world hellscape that's been morally shredding ever since narcissistic-sociopathic foghorn Chump's miserable bat-winged minions took it into their empty noggins to become Nazified traitors in service to deeply-disturbed Dear Donny and that grotty klown's Hitlerian enthusiasms. Chump's somewhere between 12- and 14-years old—uneducated, unread, unaware, barely literate, empty, ",6faa2b205698edce294b6f6bbd647a11ef60ab78457ef2f8b274749c3388dc6e,1
1\GOOGLE DOCS 8.docx,GOOGLE DOCS 8.docx,.docx,document,2288431,2.18,1746228718.0,6,LOW,True,"With any luck at all, Dear Donny's crummy 3rd-World 'Murka will not exist at all. The dump will need to get its troops home, given that delusional, already-shattered 'Murka hasn't a single friend on the planet who might help. More likely is that all the Earth will cinch 'Murka ""CLOSED FOR REPAIRS!"" before the insidious wasteland becomes more dangerous than wise men already predict. It's become either that or flatten the wretched dump.With any luck at all, Dear Donny's crummy 3rd-World 'Murka w",a97384647903015226d5ee6519c931f96b4c1a4551677a623da880aa82254af6,1
1\Gutter-Ball Chump is to excellence.docx,Gutter-Ball Chump is to excellence.docx,.docx,document,6620,0.01,1752433938.0,0,UNLIKELY,True,"Gutter-Ball Chump is to excellence what sewage is to champagne, even as botched, 3rd-world ’Murka’s pathetic nightmare is to Ace#1 France what horse droppings are to 24K gold. Gawd-awful, war-mongering ’Murka desperately needs a reboot it’ll never get.",69663e2c2bdfab36a5055693eca4b6ab7e34f13b8521ff3448c6db33fd726cef,1
1\I.docx,I.docx,.docx,document,6713,0.01,1753545844.0,0,UNLIKELY,True,"Insufferable 3rd-world 'Murka remains its own worst enemy as an incoherent, fractured, and amoral dystopia so utterly broken the joint no longer functions—at all! The best part? 82.7% of 'Murka's laughably delusional canaille sporting average IQ’s of around 84 haven't a clue all the Earth can’t stand ’em.",7cc5dcee2cab4fd6541bd7002fec237c354bdcc1cfd4066cec509fa2bc34f143,1
1\IQ BY NATION '24.docx,IQ BY NATION '24.docx,.docx,document,64360,0.06,1716456690.0,0,UNLIKELY,True,Autumn: What to Do in the Garden Now Loading Ad 00:00 / 01:33 1. | | Japan | 106.48 2. | | Taiwan | 106.47 3. | | Singapore | 105.89 4. | | Hong Kong | 105.37 5. | | China | 104.1 6. | | South Korea | 102.35 7. | | Belarus | 101.6 8. | | Finland | 101.2 9. | | Liechtenstein | 101.07 10. | | Germany | 100.74 11. | | Netherlands | 100.74 12. | | Estonia | 100.72 13. | | Luxembourg | 99.87 14. | | Macau | 99.82 15. | | Cambodia | 99.75 16. | | Canada | 99.52 17. | | Australia | 99,c19254df3ff34b5c3b3e56acb6fb39b1e11547d7d63aaee002074ceb3392c240,1
"1\Long, long will the Chump stink persist on 3rd-world 'Murka. (1).docx","Long, long will the Chump stink persist on 3rd-world 'Murka. (1).docx",.docx,document,6515,0.01,1753545438.0,0,UNLIKELY,True,"Long, long will the Chump stink persist from 3rd-world 'Murka.",b10ef8133960bf6def08707404b05bf2900ed1b4b3e07f084675cc7cee4a2838,1
"1\Long, long will the Chump stink persist on 3rd-world 'Murka..docx","Long, long will the Chump stink persist on 3rd-world 'Murka..docx",.docx,document,6517,0.01,1744324968.0,0,UNLIKELY,True,"Long, long will the Chump stink persist from 3rd-world 'Murka.",8958d47a6b2cade9eb0f36a03b63813e600c7c81132f67f5300101af01f99840,1
1\Mix a bit o' dementia with an already paralyzed DSM-5 301.81 (F60.81) .docx,Mix a bit o' dementia with an already paralyzed DSM-5 301.81 (F60.81) .docx,.docx,document,6832,0.01,1753545592.0,0,UNLIKELY,True,"@WJCHAPUT Mix a bit o' dementia with an already paralyzed DSM-5 301.81 (F60.81) hysteria-laced, short-circuited and dreadfully shallow intellect and it's Kitty Bar The Door—all bets are off, the moon doth rise whenever, the Thing's gripped by fear, its watertight doors slam shut, and its always weak mind bleeps ""DIVE! DIVE! DIVE! into a justifiably permanent paralysis. And good riddance to this monstrous bit o' garbage.",e5ac858560bcf97152f149a4b0fb186b89f718ad54272569a148331b40736ab2,1
